gcnconv-drop,l_pre,l_mp,l_post,stage,epoch,ckpt_clean,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
0.0,1,1,1,skipconcat,45,True,0.7173,0.0272,141.0,1.8109,0.0642,0.7159,0.1089,0.8247,0.124,0.5533,0.3854,0.5247,0.3595,0.8634,0.0198
0.0,1,1,1,skipconcat,45,True,0.7173,0.0272,141.0,1.4828,0.2962,0.7159,0.1089,0.8247,0.124,0.5533,0.3854,0.5247,0.3595,0.8634,0.0198
0.0,1,1,1,skipconcat,45,True,0.7173,0.0272,141.0,1.099,0.684,0.7159,0.1089,0.8247,0.124,0.5533,0.3854,0.5247,0.3595,0.8634,0.0198
0.0,1,1,1,skipsum,43,True,0.7317,0.0224,141.0,1.8283,0.1481,0.7159,0.1133,0.5581,0.3993,0.4628,0.3531,0.4929,0.3529,0.8949,0.0095
0.0,1,1,1,skipsum,198,True,0.6358,0.0203,141.0,1.1742,0.2908,0.8124,0.0066,0.7786,0.0026,0.8039,0.0188,0.7909,0.0096,0.8953,0.0041
0.0,1,1,1,skipsum,297,True,0.5984,0.024,141.0,1.0994,0.7061,0.8158,0.0049,0.7782,0.0048,0.8157,0.0115,0.7965,0.0064,0.9006,0.0015
0.0,1,1,1,stack,45,True,0.7173,0.0272,141.0,0.3275,0.0097,0.7159,0.1089,0.8247,0.124,0.5533,0.3854,0.5247,0.3595,0.8634,0.0198
0.0,1,1,1,stack,45,True,0.7173,0.0272,141.0,0.3255,0.0029,0.7159,0.1089,0.8247,0.124,0.5533,0.3854,0.5247,0.3595,0.8634,0.0198
0.0,1,1,1,stack,45,True,0.7173,0.0272,141.0,2.0096,0.2292,0.7159,0.1089,0.8247,0.124,0.5533,0.3854,0.5247,0.3595,0.8634,0.0198
0.0,1,1,2,skipconcat,99,True,0.7001,0.0501,251.0,0.3323,0.0014,0.7167,0.1121,0.5041,0.3565,0.5298,0.3747,0.5166,0.3653,0.7636,0.1336
0.0,1,1,2,skipconcat,139,True,0.6831,0.0476,251.0,0.3332,0.0022,0.7819,0.0141,0.7482,0.0519,0.782,0.0805,0.759,0.0168,0.8662,0.0082
0.0,1,1,2,skipconcat,230,True,0.6291,0.0239,251.0,0.3726,0.0588,0.7805,0.0141,0.7502,0.0591,0.7788,0.0935,0.7566,0.0196,0.87,0.0032
0.0,1,1,2,skipsum,46,True,0.7201,0.0126,251.0,0.3297,0.0054,0.6975,0.1808,0.7189,0.196,0.8169,0.1298,0.7281,0.0816,0.9051,0.0027
0.0,1,1,2,skipsum,46,True,0.7201,0.0126,251.0,0.3286,0.0012,0.6975,0.1808,0.7189,0.196,0.8169,0.1298,0.7281,0.0816,0.9051,0.0027
0.0,1,1,2,skipsum,46,True,0.7201,0.0126,251.0,0.3258,0.0032,0.6975,0.1808,0.7189,0.196,0.8169,0.1298,0.7281,0.0816,0.9051,0.0027
0.0,1,1,2,stack,99,True,0.7001,0.0501,251.0,0.3291,0.0015,0.7167,0.1121,0.5041,0.3565,0.5298,0.3747,0.5166,0.3653,0.7636,0.1336
0.0,1,1,2,stack,139,True,0.6831,0.0476,251.0,0.3287,0.0022,0.7819,0.0141,0.7482,0.0519,0.782,0.0805,0.759,0.0168,0.8662,0.0082
0.0,1,1,2,stack,230,True,0.6291,0.0239,251.0,0.373,0.0615,0.7805,0.0141,0.7502,0.0591,0.7788,0.0935,0.7566,0.0196,0.87,0.0032
0.0,1,2,1,skipconcat,22,True,0.745,0.0276,351.0,0.5353,0.0021,0.5823,0.1458,0.5495,0.1262,0.9373,0.0854,0.6765,0.0669,0.8549,0.0176
0.0,1,2,1,skipconcat,22,True,0.745,0.0276,351.0,0.5293,0.0033,0.5823,0.1458,0.5495,0.1262,0.9373,0.0854,0.6765,0.0669,0.8549,0.0176
0.0,1,2,1,skipconcat,22,True,0.745,0.0276,351.0,0.5384,0.0034,0.5823,0.1458,0.5495,0.1262,0.9373,0.0854,0.6765,0.0669,0.8549,0.0176
0.0,1,2,1,skipsum,76,True,0.7123,0.0163,251.0,0.5323,0.0026,0.802,0.0122,0.8135,0.0638,0.7286,0.0503,0.7646,0.0058,0.8784,0.0173
0.0,1,2,1,skipsum,199,True,0.6216,0.0126,251.0,0.5326,0.0035,0.7964,0.0112,0.7471,0.0257,0.8184,0.0183,0.7805,0.0058,0.8924,0.0039
0.0,1,2,1,skipsum,262,True,0.5991,0.0156,251.0,0.5412,0.0039,0.803,0.0085,0.7538,0.0152,0.8239,0.0158,0.7871,0.0079,0.8976,0.007
0.0,1,2,1,stack,23,True,0.7442,0.0118,251.0,0.5911,0.0723,0.6441,0.0956,0.5664,0.4159,0.307,0.3736,0.31,0.3305,0.8627,0.0054
0.0,1,2,1,stack,23,True,0.7442,0.0118,251.0,0.5707,0.0664,0.6441,0.0956,0.5664,0.4159,0.307,0.3736,0.31,0.3305,0.8627,0.0054
0.0,1,2,1,stack,23,True,0.7442,0.0118,251.0,0.5922,0.0779,0.6441,0.0956,0.5664,0.4159,0.307,0.3736,0.31,0.3305,0.8627,0.0054
0.0,1,2,2,skipconcat,26,True,0.7522,0.0115,461.0,0.5396,0.0063,0.6864,0.0907,0.5225,0.3828,0.4616,0.3696,0.4638,0.3326,0.8778,0.0013
0.0,1,2,2,skipconcat,26,True,0.7522,0.0115,461.0,0.5383,0.0065,0.6864,0.0907,0.5225,0.3828,0.4616,0.3696,0.4638,0.3326,0.8778,0.0013
0.0,1,2,2,skipconcat,26,True,0.7522,0.0115,461.0,0.541,0.0037,0.6864,0.0907,0.5225,0.3828,0.4616,0.3696,0.4638,0.3326,0.8778,0.0013
0.0,1,2,2,skipsum,27,True,0.7415,0.0286,361.0,0.5805,0.0551,0.6745,0.1665,0.7639,0.23,0.7196,0.2165,0.6735,0.071,0.8797,0.0253
0.0,1,2,2,skipsum,183,True,0.6558,0.03,361.0,0.5366,0.0031,0.7542,0.0897,0.6971,0.1203,0.8871,0.0757,0.7682,0.0513,0.8805,0.0284
0.0,1,2,2,skipsum,183,True,0.6558,0.03,361.0,0.5761,0.0616,0.7542,0.0897,0.6971,0.1203,0.8871,0.0757,0.7682,0.0513,0.8805,0.0284
0.0,1,2,2,stack,47,True,0.7392,0.0326,361.0,0.5803,0.0609,0.596,0.1353,0.7099,0.2159,0.6118,0.4136,0.4807,0.2929,0.8548,0.0102
0.0,1,2,2,stack,47,True,0.7392,0.0326,361.0,0.5778,0.059,0.596,0.1353,0.7099,0.2159,0.6118,0.4136,0.4807,0.2929,0.8548,0.0102
0.0,1,2,2,stack,295,True,0.6261,0.0287,361.0,0.5744,0.062,0.7918,0.0098,0.743,0.0113,0.8082,0.0117,0.7742,0.0105,0.8549,0.0038
0.0,1,3,1,skipconcat,94,True,0.7128,0.0176,661.0,0.7389,0.0064,0.706,0.1045,0.5046,0.3575,0.4965,0.3534,0.4992,0.3531,0.8511,0.0123
0.0,1,3,1,skipconcat,102,True,0.706,0.0098,661.0,0.7902,0.0599,0.6937,0.0968,0.4765,0.3406,0.5326,0.3849,0.4976,0.3519,0.8543,0.0124
0.0,1,3,1,skipconcat,102,True,0.706,0.0098,661.0,0.74,0.0088,0.6937,0.0968,0.4765,0.3406,0.5326,0.3849,0.4976,0.3519,0.8543,0.0124
0.0,1,3,1,skipsum,99,True,0.7059,0.0269,361.0,0.7402,0.0015,0.7328,0.0893,0.6701,0.0997,0.8816,0.075,0.7511,0.0438,0.8686,0.0439
0.0,1,3,1,skipsum,196,True,0.621,0.0147,361.0,0.736,0.0025,0.7956,0.0042,0.7411,0.0146,0.8274,0.0258,0.7814,0.0049,0.8899,0.0091
0.0,1,3,1,skipsum,279,True,0.5839,0.0118,361.0,0.7399,0.0014,0.8048,0.0022,0.7546,0.0089,0.8275,0.0125,0.7892,0.0013,0.8962,0.0026
0.0,1,3,1,stack,41,True,0.7561,0.0036,361.0,0.741,0.001,0.5767,0.1185,0.3602,0.2671,0.6322,0.449,0.4529,0.3249,0.8514,0.0007
0.0,1,3,1,stack,41,True,0.7561,0.0036,361.0,0.7385,0.0065,0.5767,0.1185,0.3602,0.2671,0.6322,0.449,0.4529,0.3249,0.8514,0.0007
0.0,1,3,1,stack,41,True,0.7561,0.0036,361.0,0.7368,0.0077,0.5767,0.1185,0.3602,0.2671,0.6322,0.449,0.4529,0.3249,0.8514,0.0007
0.0,1,3,2,skipconcat,24,True,0.7529,0.0098,771.0,0.7401,0.0046,0.5442,0.1444,0.5858,0.2035,0.8345,0.2341,0.6216,0.0122,0.8703,0.0059
0.0,1,3,2,skipconcat,24,True,0.7529,0.0098,771.0,0.7379,0.0048,0.5442,0.1444,0.5858,0.2035,0.8345,0.2341,0.6216,0.0122,0.8703,0.0059
0.0,1,3,2,skipconcat,24,True,0.7529,0.0098,771.0,0.7899,0.0615,0.5442,0.1444,0.5858,0.2035,0.8345,0.2341,0.6216,0.0122,0.8703,0.0059
0.0,1,3,2,skipsum,58,True,0.7371,0.0207,471.0,0.7443,0.0037,0.7249,0.1185,0.5611,0.3993,0.4694,0.3327,0.5098,0.3605,0.8849,0.0114
0.0,1,3,2,skipsum,198,True,0.5976,0.0173,471.0,0.7374,0.0037,0.834,0.0016,0.8195,0.0055,0.8008,0.0121,0.8099,0.0037,0.8947,0.008
0.0,1,3,2,skipsum,291,True,0.5654,0.0186,471.0,0.7388,0.008,0.8364,0.0025,0.8227,0.0016,0.8027,0.0047,0.8126,0.0032,0.8975,0.0048
0.0,1,3,2,stack,40,True,0.7464,0.0082,471.0,0.7405,0.0091,0.7164,0.0439,0.783,0.0247,0.4918,0.1232,0.596,0.1015,0.8226,0.0375
0.0,1,3,2,stack,40,True,0.7464,0.0082,471.0,0.782,0.0644,0.7164,0.0439,0.783,0.0247,0.4918,0.1232,0.596,0.1015,0.8226,0.0375
0.0,1,3,2,stack,40,True,0.7464,0.0082,471.0,0.7421,0.0085,0.7164,0.0439,0.783,0.0247,0.4918,0.1232,0.596,0.1015,0.8226,0.0375
0.0,2,1,1,skipconcat,4,True,0.7778,0.0154,251.0,0.329,0.0052,0.5194,0.0549,0.1473,0.2083,0.3333,0.4714,0.2043,0.2889,0.876,0.0066
0.0,2,1,1,skipconcat,4,True,0.7778,0.0154,251.0,0.3292,0.0039,0.5194,0.0549,0.1473,0.2083,0.3333,0.4714,0.2043,0.2889,0.876,0.0066
0.0,2,1,1,skipconcat,4,True,0.7778,0.0154,251.0,0.3313,0.0052,0.5194,0.0549,0.1473,0.2083,0.3333,0.4714,0.2043,0.2889,0.876,0.0066
0.0,2,1,1,skipsum,92,True,0.7146,0.0347,251.0,0.3284,0.0008,0.714,0.1422,0.6957,0.1567,0.842,0.1084,0.7377,0.0667,0.8903,0.0131
0.0,2,1,1,skipsum,92,True,0.7146,0.0347,251.0,0.3301,0.0034,0.714,0.1422,0.6957,0.1567,0.842,0.1084,0.7377,0.0667,0.8903,0.0131
0.0,2,1,1,skipsum,92,True,0.7146,0.0347,251.0,0.3295,0.0015,0.714,0.1422,0.6957,0.1567,0.842,0.1084,0.7377,0.0667,0.8903,0.0131
0.0,2,1,1,stack,4,True,0.7778,0.0154,251.0,0.3383,0.0047,0.5194,0.0549,0.1473,0.2083,0.3333,0.4714,0.2043,0.2889,0.876,0.0066
0.0,2,1,1,stack,4,True,0.7778,0.0154,251.0,0.3309,0.0011,0.5194,0.0549,0.1473,0.2083,0.3333,0.4714,0.2043,0.2889,0.876,0.0066
0.0,2,1,1,stack,4,True,0.7778,0.0154,251.0,0.3304,0.0062,0.5194,0.0549,0.1473,0.2083,0.3333,0.4714,0.2043,0.2889,0.876,0.0066
0.0,2,1,2,skipconcat,13,True,0.7602,0.0033,361.0,0.3366,0.006,0.5638,0.0549,0.4873,0.4057,0.3898,0.4355,0.3102,0.2607,0.8768,0.0023
0.0,2,1,2,skipconcat,13,True,0.7602,0.0033,361.0,0.3297,0.0007,0.5638,0.0549,0.4873,0.4057,0.3898,0.4355,0.3102,0.2607,0.8768,0.0023
0.0,2,1,2,skipconcat,13,True,0.7602,0.0033,361.0,0.3384,0.0033,0.5638,0.0549,0.4873,0.4057,0.3898,0.4355,0.3102,0.2607,0.8768,0.0023
0.0,2,1,2,skipsum,90,True,0.6702,0.0188,361.0,0.3726,0.06,0.7244,0.0635,0.6594,0.0992,0.8827,0.1008,0.742,0.0255,0.8878,0.0119
0.0,2,1,2,skipsum,194,True,0.5968,0.0117,361.0,0.373,0.0628,0.8316,0.004,0.8261,0.0192,0.7851,0.0175,0.8046,0.0023,0.8959,0.0065
0.0,2,1,2,skipsum,298,True,0.555,0.009,361.0,0.3302,0.0063,0.8311,0.0013,0.8101,0.0076,0.807,0.0095,0.8085,0.0013,0.9041,0.002
0.0,2,1,2,stack,13,True,0.7602,0.0033,361.0,0.3269,0.0013,0.5638,0.0549,0.4873,0.4057,0.3898,0.4355,0.3102,0.2607,0.8768,0.0023
0.0,2,1,2,stack,13,True,0.7602,0.0033,361.0,0.3323,0.003,0.5638,0.0549,0.4873,0.4057,0.3898,0.4355,0.3102,0.2607,0.8768,0.0023
0.0,2,1,2,stack,13,True,0.7602,0.0033,361.0,0.3317,0.0024,0.5638,0.0549,0.4873,0.4057,0.3898,0.4355,0.3102,0.2607,0.8768,0.0023
0.0,2,2,1,skipconcat,10,True,0.7638,0.0004,461.0,0.5362,0.0034,0.5582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8729,0.0025
0.0,2,2,1,skipconcat,10,True,0.7638,0.0004,461.0,0.5323,0.0056,0.5582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8729,0.0025
0.0,2,2,1,skipconcat,10,True,0.7638,0.0004,461.0,0.5402,0.0032,0.5582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8729,0.0025
0.0,2,2,1,skipsum,97,True,0.6719,0.0307,361.0,0.5354,0.004,0.7717,0.0391,0.7121,0.039,0.8114,0.0618,0.7579,0.0442,0.8682,0.0435
0.0,2,2,1,skipsum,155,True,0.6492,0.0464,361.0,0.5283,0.0046,0.7926,0.0282,0.7509,0.0156,0.7922,0.0652,0.7702,0.0392,0.8743,0.041
0.0,2,2,1,skipsum,297,True,0.6002,0.0624,361.0,0.535,0.0039,0.797,0.026,0.748,0.0249,0.8145,0.0344,0.7798,0.0293,0.8873,0.025
0.0,2,2,1,stack,1,True,0.7677,0.0006,361.0,0.5314,0.0036,0.4418,0.0,0.4418,0.0,1.0,0.0,0.6128,0.0,0.8616,0.0074
0.0,2,2,1,stack,1,True,0.7677,0.0006,361.0,0.5351,0.0059,0.4418,0.0,0.4418,0.0,1.0,0.0,0.6128,0.0,0.8616,0.0074
0.0,2,2,1,stack,297,True,0.5939,0.0167,361.0,0.5319,0.0029,0.7853,0.0177,0.7332,0.0267,0.811,0.0113,0.7697,0.0143,0.8624,0.0051
0.0,2,2,2,skipconcat,8,True,0.7641,0.0014,571.0,0.5354,0.0032,0.5194,0.0549,0.1473,0.2083,0.3333,0.4714,0.2043,0.2889,0.8726,0.0023
0.0,2,2,2,skipconcat,196,True,0.5982,0.0101,571.0,0.5351,0.0034,0.7996,0.006,0.7557,0.0073,0.8075,0.0125,0.7806,0.0072,0.8751,0.006
0.0,2,2,2,skipconcat,292,True,0.5668,0.0066,571.0,0.5326,0.0032,0.8066,0.0075,0.7661,0.0137,0.8102,0.0078,0.7874,0.0065,0.883,0.0018
0.0,2,2,2,skipsum,94,True,0.6619,0.0065,471.0,0.5274,0.0014,0.8191,0.0129,0.8292,0.0297,0.749,0.073,0.7836,0.0294,0.8996,0.0099
0.0,2,2,2,skipsum,177,True,0.609,0.0056,471.0,0.5795,0.0601,0.8294,0.0046,0.8022,0.0149,0.8157,0.0227,0.8085,0.0062,0.9008,0.008
0.0,2,2,2,skipsum,272,True,0.5756,0.0119,471.0,0.5361,0.004,0.8309,0.0072,0.8161,0.0208,0.798,0.0122,0.8067,0.0045,0.904,0.0043
0.0,2,2,2,stack,35,True,0.7515,0.0196,471.0,0.5794,0.0582,0.6052,0.1049,0.4374,0.3438,0.507,0.4021,0.4312,0.305,0.8057,0.0448
0.0,2,2,2,stack,35,True,0.7515,0.0196,471.0,0.5417,0.0054,0.6052,0.1049,0.4374,0.3438,0.507,0.4021,0.4312,0.305,0.8057,0.0448
0.0,2,2,2,stack,35,True,0.7515,0.0196,471.0,0.5805,0.0615,0.6052,0.1049,0.4374,0.3438,0.507,0.4021,0.4312,0.305,0.8057,0.0448
0.0,2,3,1,skipconcat,53,True,0.7195,0.0335,771.0,0.7296,0.0132,0.6904,0.106,0.6343,0.1072,0.871,0.0886,0.7208,0.0467,0.8566,0.0062
0.0,2,3,1,skipconcat,172,True,0.6376,0.035,771.0,0.7391,0.0043,0.7826,0.0154,0.7911,0.0614,0.7129,0.1248,0.7377,0.051,0.8639,0.0064
0.0,2,3,1,skipconcat,242,True,0.6262,0.0497,771.0,0.7401,0.0064,0.7734,0.0386,0.8157,0.0762,0.6643,0.1882,0.705,0.1049,0.8673,0.0076
0.0,2,3,1,skipsum,83,True,0.7124,0.0197,471.0,0.7347,0.01,0.7571,0.0411,0.7631,0.0228,0.6623,0.1623,0.6949,0.0955,0.8453,0.0246
0.0,2,3,1,skipsum,161,True,0.6621,0.0363,471.0,0.7359,0.0075,0.7682,0.0288,0.7127,0.0608,0.8235,0.0638,0.7592,0.0089,0.8677,0.0085
0.0,2,3,1,skipsum,161,True,0.6621,0.0363,471.0,0.7433,0.0037,0.7682,0.0288,0.7127,0.0608,0.8235,0.0638,0.7592,0.0089,0.8677,0.0085
0.0,2,3,1,stack,12,True,0.7608,0.0009,471.0,0.729,0.0072,0.6221,0.0904,0.249,0.3521,0.2188,0.3095,0.2329,0.3294,0.8464,0.0107
0.0,2,3,1,stack,12,True,0.7608,0.0009,471.0,0.739,0.0053,0.6221,0.0904,0.249,0.3521,0.2188,0.3095,0.2329,0.3294,0.8464,0.0107
0.0,2,3,1,stack,12,True,0.7608,0.0009,471.0,0.7438,0.0077,0.6221,0.0904,0.249,0.3521,0.2188,0.3095,0.2329,0.3294,0.8464,0.0107
0.0,2,3,2,skipconcat,41,True,0.7429,0.0194,881.0,0.7417,0.0065,0.7134,0.1095,0.8308,0.1199,0.5325,0.3757,0.515,0.3625,0.8643,0.0115
0.0,2,3,2,skipconcat,41,True,0.7429,0.0194,881.0,0.7814,0.0529,0.7134,0.1095,0.8308,0.1199,0.5325,0.3757,0.515,0.3625,0.8643,0.0115
0.0,2,3,2,skipconcat,284,True,0.5755,0.0092,881.0,0.7382,0.002,0.8034,0.0017,0.7537,0.0033,0.8243,0.0096,0.7874,0.0031,0.8702,0.0177
0.0,2,3,2,skipsum,99,True,0.6646,0.0158,581.0,0.7561,0.0013,0.8127,0.0136,0.7999,0.016,0.7698,0.0514,0.7833,0.0233,0.8882,0.014
0.0,2,3,2,skipsum,188,True,0.6085,0.0035,581.0,0.7316,0.0055,0.8308,0.0019,0.8186,0.0061,0.7925,0.0078,0.8053,0.0024,0.9032,0.0007
0.0,2,3,2,skipsum,208,True,0.5989,0.0023,581.0,0.7747,0.0589,0.8321,0.0024,0.8116,0.0106,0.8079,0.0131,0.8096,0.0026,0.9035,0.0005
0.0,2,3,2,stack,12,True,0.7625,0.0034,581.0,0.7449,0.0077,0.6102,0.0735,0.2077,0.2938,0.2976,0.4209,0.2447,0.346,0.8444,0.0086
0.0,2,3,2,stack,12,True,0.7625,0.0034,581.0,0.7452,0.0058,0.6102,0.0735,0.2077,0.2938,0.2976,0.4209,0.2447,0.346,0.8444,0.0086
